Question,Answer
What are the best crops for summer?,"The best summer crops include tomatoes, cucumbers, bell peppers, okra, and sunflowers."
How to improve soil fertility?,"Soil fertility can be improved by adding compost, green manure, and using crop rotation techniques."
What is the best organic fertilizer?,"The best organic fertilizers include compost, cow dung, vermicompost, and bone meal."
How to prevent pests naturally?,"Natural pest control includes neem oil spray, companion planting, and using beneficial insects like ladybugs."
How much water do tomatoes need?,"Tomatoes need about 1-2 inches of water per week, depending on the climate and soil conditions."
Which crops need less water?,"Drought-resistant crops include millets, chickpeas, pigeon peas, and sorghum."
What are the benefits of crop rotation?,"Crop rotation helps prevent soil depletion, reduces pests and diseases, and improves soil structure."
How to detect soil pH?,"You can test soil pH using a pH meter, pH test strips, or a simple vinegar and baking soda test."
What is the ideal temperature for wheat?,The ideal temperature for wheat growth is between 10°C to 25°C.
How to increase rice yield?,"To increase rice yield, use high-yield varieties, proper irrigation, and balanced fertilization."
